Tên,Giá,RAM,SSD,Rating,Đã bán
HP 240 G9 i3 1215U (6L1X8PA),11.190.000₫,RAM 8 GB,SSD 512 GB,5,527
MSI Modern 14 C13M i5 1335U (611VN),14.190.000₫,RAM 16 GB,SSD 512 GB,5,480
Lenovo ThinkBook 16 G7 Ultra 7 155U (21MS007HVN),29.190.000₫,RAM 32 GB,SSD 1 TB,5,23
MSI VenturePro 16 AI A1VEG Ultra 7 155H (003VN),35.990.000₫,RAM 16 GB,SSD 1 TB,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (N5I5340W1),18.490.000₫,RAM 16 GB,SSD 512 GB,5,"1,2k"
Acer Predator Helios Neo PHN16 71 53M7 i5 13500HX (NH.QLUSV.005),27.690.000₫,RAM 16 GB,SSD 512 GB,4.9,757
Acer Swift Go 14 41 R251 R5 7430U (NX.KG3SV.005),18.490.000₫,RAM 16 GB,SSD 1 TB,5,527
Asus ROG Strix G16 G614JV i7 13650HX (N3515W),36.990.000₫,RAM 32 GB,SSD 1 TB,5,52
HP Pavilion 15 eg3094TU i5 1335U (8C5L5PA),16.190.000₫,RAM 8 GB,SSD 512 GB,5,618
Acer Aspire 5 A515 58M 79R7 i7 13620H (NX.KQ8SV.007),17.990.000₫,RAM 16 GB,SSD 512 GB,4.9,326
Lenovo ThinkPad E16 Ultra 7 155H (21MA004PVN),34.090.000₫,RAM 32 GB,SSD 1 TB,5,43
HP 240 G9 i5 1235U (9T2G2PT),15.890.000₫,RAM 16 GB,SSD 512 GB,5,1k
Lenovo Gaming LOQ 15IRX9 i7 13650HX (83DV00UGVN),29.690.000₫,RAM 24 GB,SSD 512 GB,5,35
Lenovo ThinkBook 14 G6 i7 1355U (21KG00BQVN),21.990.000₫,RAM 16 GB,SSD 512 GB,5,70
MSI Gaming Bravo 15 B7ED R5 7535HS (010VN),17.190.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,4k"
Lenovo ThinkPad E14 Gen 6 Ultra 7 155U (21M7004UVN),28.790.000₫,RAM 16 GB,SSD 512 GB,5,119
Asus Zenbook A14 UX3407QA X1 26 100 (QD299WS),28.490.000₫,RAM 16 GB,SSD 512 GB,5,16
Dell Inspiron 15 3530 i7 1355U (71043888),21.490.000₫,RAM 16 GB,SSD 512 GB,5,"1,1k"
Dell Inspiron 14 5440 Core 7 150U (7FN5J),24.990.000₫,RAM 16 GB,SSD 1 TB,5,791
Dell Inspiron 14 5440 i5 1334U (NDY5V1),20.490.000₫,RAM 16 GB,SSD 512 GB,5,93
Asus TUF Gaming F15 FX507ZC4 i7 12700H (HN181W),22.990.000₫,RAM 16 GB,SSD 512 GB,5,"1,2k"
